game_name,designer,main_category,avg_rating,rating_count,category_avg_rating
Gloomhaven,Isaac Childres,Adventure,9.67,3,9.29
Gloomhaven,Isaac Childres,Cooperative,9.67,3,9.13
Gloomhaven,Isaac Childres,Strategy,9.67,3,8.31
Brass: Birmingham,Martin Wallace,Strategy,9.33,3,8.31
Brass: Birmingham,Martin Wallace,Economic,9.33,3,8.24
Scythe,Jamey Stegmaier,Economic,9.00,4,8.24
Scythe,Jamey Stegmaier,Strategy,9.00,4,8.31
Wingspan,Elizabeth Hargrave,Family,8.80,5,8.03
Wingspan,Elizabeth Hargrave,Strategy,8.80,5,8.31
Pandemic,Matt Leacock,Family,8.80,5,8.03
Pandemic,Matt Leacock,Strategy,8.80,5,8.31
Terraforming Mars,Jacob Fryxelius,Strategy,8.75,4,8.31
Terraforming Mars,Jacob Fryxelius,Economic,8.75,4,8.24
